title,institute,location,start,end
"Bureau voor theater, film en documentaire (project coördinatie, dramaturgie, educatie, event managing)",Bureau Zeven Sloten,Haarlem,2017,Heden
Online video productie & winkelmedewerker,Drogisterij A.J. van der Pigge,Haarlem,2017,Heden
Verkoopmedewerker & events,Boekhandel de Vries,Haarlem,2017,
Coördinator bar en kassa en vrijwilligers,Ostade A’dam,Amsterdam,2016,
