title,institute,location,start,end
"Opleiding Documentaire, van Storytelling tot Filmplan",Amsterdam Filmschool,Amsterdam,2016,2017
"Bachelor Theaterwetenschap, Bachelor of Arts",Univeristeit van Amsterdam,Amsterdam,2011,2015
"Bachelor Literatuurwetenschap, Propedeuse behaald in 2011",Univeristeit van Amsterdam,Amsterdam,2009,2011
"Middelbare school, Diploma behaald",Stedelijk Gymnasium Haarlem,Haarlem,2002,2009
