title,institute,location,start,end
Masterclass ‘Van verhaal naar toneel’ Peter Sonneveld – bewerking schrijven,RCTH module,,2017,
Masterclass ‘Alleen op de wereld’ - jeugddrama schrijven,Script Academy,,2017,
"Cursus, beeldend: Ruimtelijk Werken",CREA,,2014,2015
"Theater I en II – spel, scenario, vormgeving",CREA cursus,,2010,2011
